URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medication-statement-adherence,5.0.0,active,"2.16.840.1.113883.4.642.4.1981",MedicationStatementAdherenceCodes,MedicationStatement Adherence Codes,"MedicationStatement Adherence Codes","ValueSet/medication-statement-adherence"
http://hl7.org/fhir/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://testSK.org/CodeSystem/CodeSystem/discharge-dept-cs,0.1.0,active,,DischargeDeptCS,Discharge Department/Service Code System,"Code system specifying the type of department or service the patient was discharged or transferred to.","ValueSet/discharge-dept-vs"
http://testSK.org/CodeSystem/assessment-context-cs,0.1.0,active,,AssessmentContextCS,Assessment Context Code System,"Codes defining the context or timing of a clinical assessment, particularly functional scores.","ValueSet/assessment-context-vs"
http://testSK.org/CodeSystem/brain-imaging-type-cs,0.1.0,active,,BrainImagingTypeCS,Brain Imaging Type Code System,"Codes specifying the type of brain imaging performed (e.g., CT, MRI).","ValueSet/brain-imaging-modality-vs"
http://testSK.org/CodeSystem/hemorrhagic-stroke-bleeding-reason-cs,0.1.0,active,,HemorrhagicStrokeBleedingReasonCS,Hemorrhagic Stroke Bleeding Reason Code System,"Codes indicating the reason for bleeding in hemorrhagic stroke cases.","ValueSet/hemorrhagic-stroke-bleeding-reason-vs"
http://testSK.org/CodeSystem/initial-care-intensity-cs,0.1.0,active,,InitialCareIntensityCS,Initial Care Intensity Code System,"Codes indicating the level of care provided during the patient's initial day(s) in the hospital.","ValueSet/initial-care-intensity-vs"
http://testSK.org/CodeSystem/medication-statement-cs,0.1.0,draft,,MedicationStatementCS,MedicationStatement CodeSystem,"Codes representing various medication-related procedures and findings (e.g., therapies, administration procedures, findings about use).","ValueSet/medicationStatement-meds-codes-vs"
http://testSK.org/CodeSystem/mrs-score-cs,0.1.0,active,,MRsScoreCS,modified Rankin Scale (mRS) Score Code System,"Codes representing the modified Rankin Scale (mRS) score for functional outcome.","ValueSet/mrs-score-vs"
http://testSK.org/CodeSystem/mtici-score-cs,0.1.0,draft,,MticiScoreCS,MTICI Score Code System,"CodeSystem containing the codes to represent the MTICI score.","ValueSet/mtici-code-vs,ValueSet/mtici-score-vs"
http://testSK.org/CodeSystem/procedure-timing-context-cs,0.1.0,active,,ProcedureTimingContextCS,Procedure Timing Context Code System,"Codes defining the timing phase of a procedure relative to the encounter start (e.g., acute vs. post-acute).","ValueSet/procedure-timing-context-vs"
http://testSK.org/CodeSystem/stroke-arrival-mode-cs,0.1.0,active,,StrokeArrivalModeCS,Initial Care Intensity Code System,"Codes indicating the level of care provided during the patient's initial day(s) in the hospital.","ValueSet/stroke-arrival-mode-vs"
http://testSK.org/CodeSystem/stroke-circumstance-codes-cs,0.1.0,active,,StrokeCircumstanceCodesCS,Stroke Circumstance Codes CodeSystem,"Codes for findings related to the circumstances of stroke onset (In-hospital, Wake-up).","ValueSet/stroke-circumstance-codes-vs"
http://testSK.org/CodeSystem/stroke-discharge-destination-cs,0.1.0,active,,StrokeDischargeDestinationCS,Stroke Discharge Destination Code System,"Codes indicating the possible destinations of the patient upon discharge from the encounter.","ValueSet/stroke-discharge-destination-vs"
http://testSK.org/CodeSystem/stroke-etiology-cs,0.1.0,active,,StrokeEtiologyCS,Stroke Etiology Code System,"Codes indicating the etiology of strokes.","ValueSet/stroke-etiology-vs"
http://testSK.org/CodeSystem/stroke-proc-not-done-reason-cs,0.1.0,active,,StrokeProcNotDoneReasonCS,Stroke Procedure Not Done Reason Code System,"Codes specifying the reason principal for not performing a key stroke procedure (Thrombolysis, Thrombectomy).","ValueSet/stroke-proc-not-done-reason-vs"
http://testSK.org/CodeSystem/swallow-procedures-cs,0.1.0,active,,SwallowProceduresCS,Swallow Procedures Code System,"Codes representing various swallowing assessment procedures.","ValueSet/swallow-procedures-vs"
http://testSK.org/CodeSystem/swallow-screen-time-cs,0.1.0,active,,SwallowScreenTimeCS,Swallowing Screening Timing Category Code System,"Temporal categories relative to stroke onset for swallowing screening.","ValueSet/swallowing-screening-timing-category-vs"
http://testSK.org/CodeSystem/timing-metric-codes-cs,0.1.0,active,,TimingMetricCodesCS,Stroke Timing Metric Codes ValueSet,"Codes for key process timing metrics in acute stroke care (D2N, D2G).","ValueSet/timing-metric-codes-vs"
http://testSK.org/ValueSet/medication-vs,0.1.0,draft,,DischargeMedicationCS,Medications CodeSystem,"Codes for drug products or substances representing the Medications on the patient discharge.","ValueSet/discharge-medication-vs"
